Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
991,3004,261,95,18,9999,0,1103,0,4081,4501,3,3,1478,490,2000,1,0,73,72,31,0,0,0,0,0,1391,1584,987,1221,296,57,95,90,90,95,50,43,57,19,21,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,296,96
1991,3004,261,95,18,9999,0,932,0,4094,3815,3,3,1478,490,2000,1,0,72,72,34,0,0,1,0,0,1391,1584,299,692,0,15,47,45,38,56,14,15,14,28,13,0,0,11702,364,0,249,2,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,96
2991,3004,261,95,19,9999,0,843,0,4094,3451,3,3,1478,490,2000,1,0,69,72,33,0,2,2,0,0,1391,1584,1230,660,0,9,30,31,36,25,9,8,5,5,16,0,0,11702,364,0,249,2,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,96
3991,3004,261,95,19,9999,0,1072,0,4094,4388,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,939,1221,291,25,37,37,35,34,19,13,25,18,9,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,291,96
4991,3004,261,95,19,9999,0,1102,0,4094,4511,3,3,1478,490,2000,1,0,46,72,37,0,18,28,0,0,1391,1584,4464,883,0,17,30,39,40,31,5,13,17,14,43,0,0,11702,364,0,249,2,251,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
5991,3004,261,95,19,9999,0,1163,0,4094,4761,3,3,1478,490,2000,1,0,66,72,35,0,4,15,0,0,1391,1584,5474,995,0,25,50,43,46,36,14,10,25,0,45,0,0,11702,364,0,249,2,251,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
6991,3004,261,95,19,9999,0,1312,0,4094,5371,3,3,1478,490,2000,1,0,66,72,38,0,13,2,0,0,1391,1584,6020,1015,0,21,48,51,48,52,14,10,21,14,52,0,0,11702,364,0,249,2,251,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
7991,3004,261,95,19,9999,0,1279,0,4094,5236,3,3,1478,490,2000,1,0,72,72,35,0,0,0,0,0,1391,1584,7054,1076,294,18,56,54,47,54,10,0,18,10,61,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,294,96
8991,3004,261,95,19,9999,0,1268,0,4094,5191,3,3,1478,490,2000,1,0,72,72,36,0,0,0,0,0,1391,1584,6333,1454,289,18,62,50,63,54,14,14,18,19,61,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,289,96
9991,3004,261,95,19,9999,0,1323,0,4094,5416,3,3,1478,490,2000,1,0,72,72,36,0,0,0,0,0,1391,1584,6285,965,0,14,40,40,45,33,14,13,14,10,53,0,0,11702,364,0,249,2,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
