Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
989,2695,555,99,28,9999,0,1082,0,4209,4554,3,3,1478,490,2000,1,0,60,72,32,0,0,0,0,0,1391,1584,371,1227,290,19,38,39,45,45,14,5,19,5,15,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,96
1989,2695,555,99,28,9999,0,1018,0,4209,4284,3,3,1478,490,2000,1,0,60,72,32,0,0,0,0,0,1391,1584,330,1228,288,9,36,33,31,45,5,5,9,21,15,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,288,96
2989,2695,555,99,28,9999,0,1001,0,4209,4213,3,3,1478,490,2000,1,0,62,72,28,0,0,0,0,0,1391,1584,344,1225,291,14,35,27,22,30,5,9,14,26,15,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,291,96
3989,2695,555,99,28,9999,0,1155,0,4209,4861,3,3,1766,490,2000,1,0,55,72,26,1,0,28,0,0,1391,1584,64576,1319,295,25,42,36,27,31,0,5,25,0,86,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,295,96
4989,2695,555,99,28,9999,0,1310,0,4209,5513,3,3,1478,490,2000,1,0,11,72,37,2,0,73,0,0,1391,1584,65535,1352,296,36,47,55,50,50,16,30,36,5,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,296,96
5989,2695,555,99,28,9999,0,1279,0,4209,5383,3,3,1478,490,2000,1,0,8,72,13,0,0,73,0,0,1391,1584,65535,1093,0,9,33,31,31,31,9,0,0,14,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6989,2695,555,99,28,9999,0,1285,0,4209,5408,3,3,1478,490,2000,1,0,10,72,14,0,0,72,0,0,1391,1584,65535,1288,0,9,33,33,36,19,4,9,5,14,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,96
7989,2695,555,99,28,9999,0,1278,0,4209,5379,3,3,1478,490,2000,1,0,8,72,15,0,0,72,0,0,1391,1584,65535,1302,0,9,23,16,38,16,0,9,5,14,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
8989,2695,555,99,28,9999,0,1283,0,4165,5343,3,3,1478,490,2000,1,0,8,72,12,0,0,72,0,0,1391,1584,65535,1322,0,9,35,30,25,25,4,9,5,14,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,96
9989,2695,555,99,28,9999,0,1342,0,4165,5589,3,3,1478,490,2000,1,0,6,72,13,0,0,73,0,0,1391,1584,292,2531,296,14,50,36,36,50,14,9,10,26,99,0,0,12803,660,0,506,39,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,296,96
