Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
991,8006,364,50,21,9999,0,1500,0,3676,5657,5,3,2150,525,2000,1,0,72,72,38,0,0,0,0,0,1390,1584,579,1156,404,40,100,95,100,100,40,23,35,27,18,0,0,11518,470,0,354,1,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,404,96
1991,8006,364,50,21,9999,0,1422,0,3676,5227,5,3,1478,490,2000,1,0,72,72,37,0,0,0,0,0,1390,1584,953,1277,639,57,89,90,90,94,57,55,52,28,22,0,0,11518,470,0,354,1,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,639,96
2991,8006,364,50,21,9999,0,1388,0,3676,5102,5,3,1478,490,2000,1,0,72,72,33,0,0,0,0,0,1390,1584,878,1281,640,28,55,60,57,66,28,27,26,14,22,0,0,11518,470,0,354,1,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,640,96
3992,8006,364,50,21,9999,0,1500,0,3676,6513,5,3,1478,490,2000,1,0,72,72,30,0,0,0,0,0,1390,1584,869,1285,627,55,64,73,72,73,18,50,55,23,16,0,0,11518,470,0,354,1,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,627,96
4992,8006,364,50,21,9999,0,1500,0,3676,7500,5,5,1478,490,2000,1,0,40,72,40,0,17,30,0,0,1390,1584,9503,1320,585,15,44,35,52,50,14,15,10,30,96,0,0,11518,470,0,354,1,356,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,96
5991,8006,364,50,21,9999,0,1500,0,3676,7500,5,5,1478,587,2000,1,0,73,72,54,0,5,4,0,0,1390,1584,11672,1871,559,30,76,68,75,75,25,30,22,28,99,0,0,11518,470,0,354,1,356,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,96
6992,8006,364,50,21,9999,0,1500,0,3676,7500,5,5,1478,587,2000,1,0,70,72,51,0,2,22,0,0,1390,1584,18213,1826,534,15,55,60,63,55,15,5,15,26,99,0,0,11518,470,0,354,1,356,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,534,96
7991,8006,364,50,21,9999,0,1500,0,3676,6984,5,5,1478,587,2000,1,0,47,72,64,0,21,44,0,0,1390,1584,22318,1304,255,23,69,66,68,75,10,23,16,21,80,0,0,11518,470,0,354,1,356,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,255,96
8991,8006,364,50,21,9999,0,1500,0,3642,7247,5,5,1478,525,2000,1,0,29,72,69,0,12,52,0,0,1390,1584,22458,1896,653,19,55,52,55,57,19,14,14,27,97,0,0,11518,470,0,354,1,356,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,653,96
9992,8006,364,50,21,9999,0,1500,0,3642,7500,5,5,1478,587,2000,1,0,37,72,62,0,47,22,0,0,1390,1584,8629,1843,702,30,27,37,47,38,30,14,30,11,97,0,0,11518,470,0,354,1,356,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,96
10992,8006,364,50,21,9999,0,1500,0,3642,6959,5,4,1478,587,2000,1,0,66,72,57,0,16,34,0,0,1390,1584,22436,910,0,23,44,44,54,59,14,10,23,61,95,0,0,11518,470,0,354,1,356,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
11992,8006,364,50,21,9999,0,1500,0,3642,6988,5,4,1478,525,2000,1,0,43,72,59,0,9,27,0,0,1390,1584,17726,915,0,25,38,17,30,12,21,13,25,19,99,0,0,11518,470,0,354,1,356,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
12992,8006,364,50,21,9999,0,1500,0,3642,6613,5,5,1478,525,2000,1,0,35,72,65,0,12,58,0,0,1390,1584,21424,1163,436,9,42,27,35,16,5,0,9,15,83,0,0,11518,470,0,354,1,356,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,96
13993,8006,364,50,21,9999,0,1500,0,3642,6999,5,4,1478,525,2000,1,0,32,72,61,0,21,39,0,0,1390,1584,16569,945,0,27,44,30,31,30,27,18,19,19,94,0,0,11518,470,0,354,1,356,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
14992,8006,364,50,21,9999,0,1500,0,3642,7500,5,5,1478,525,2000,1,0,50,72,55,0,24,20,0,0,1390,1584,10846,1339,649,21,55,44,55,52,10,14,21,22,98,0,0,11518,470,0,354,1,356,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,96
15993,8006,364,50,21,9999,0,1500,0,3642,7500,5,4,1478,587,2000,1,0,70,72,53,0,60,1,0,0,1390,1584,11013,881,0,19,47,39,29,39,17,19,10,19,92,0,0,11518,470,0,354,1,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
16992,8006,364,50,21,9999,0,1500,0,3642,7495,5,5,1478,525,2000,1,0,70,72,56,0,47,6,0,0,1390,1584,12200,1326,653,18,47,36,44,39,5,18,18,26,99,0,0,11518,470,0,354,1,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,96
17992,8006,364,50,21,9999,0,1500,0,3642,7500,5,5,1478,587,2000,1,0,70,72,53,0,46,2,0,0,1390,1584,11670,1345,658,21,47,47,42,42,19,19,21,19,99,0,0,11518,470,0,354,1,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,96
18992,8006,364,50,21,9999,0,1500,0,3635,7248,5,5,1478,587,2000,1,0,63,72,54,0,15,28,0,0,1390,1584,17124,1322,607,9,33,36,42,35,9,0,5,15,97,0,0,11518,470,0,354,1,356,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,96
