Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
990,3232,346,100,28,9999,0,0,0,4376,0,3,2,1382,441,1353,0,0,73,72,27,0,0,0,0,0,1391,1584,363,758,0,13,42,33,38,37,5,13,13,0,9,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
1989,3232,346,100,28,9999,0,0,0,4376,0,3,2,1382,441,1353,0,0,72,72,26,0,0,0,0,0,1391,1584,363,761,0,9,40,31,42,33,0,9,5,0,9,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
2990,3232,346,100,28,9999,0,0,0,4377,0,3,2,1382,441,2000,0,0,72,72,24,0,0,0,0,0,1391,1584,369,760,0,13,35,51,21,21,0,9,13,9,9,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
3990,3232,346,100,28,0,0,51,0,4377,223,3,2,1382,441,1555,0,0,72,72,24,0,0,13,0,0,1391,1584,5677,997,0,34,55,45,52,61,19,11,34,5,20,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
4990,3232,346,100,28,0,0,2,0,4377,8,3,2,1382,441,1555,0,0,34,72,36,0,23,29,0,0,1391,1584,6447,994,0,34,63,33,60,47,22,31,34,13,54,0,0,11030,426,0,293,42,336,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
5992,3232,346,100,28,0,0,40,0,4377,175,3,2,1382,441,1555,0,0,72,72,36,0,0,0,0,0,1391,1584,5565,1209,0,36,70,66,69,68,25,36,33,14,68,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6991,3232,346,100,28,9999,0,12,0,4365,52,3,2,1382,441,1555,0,0,72,72,36,0,0,0,0,0,1391,1584,5267,1283,0,25,70,50,64,55,21,19,25,21,62,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2205,2205,96
7990,3232,346,100,28,9999,0,45,0,4365,196,3,2,1382,441,1555,0,0,72,72,35,0,0,0,0,0,1391,1584,7509,1023,0,30,63,68,66,59,21,30,21,5,60,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1792,1792,96
8992,3232,346,100,28,9999,0,16,0,4365,69,3,2,1382,441,1555,0,0,72,72,35,0,0,0,0,0,1391,1584,8316,1007,0,26,63,56,62,57,26,19,21,14,66,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
9994,3232,346,100,28,9999,0,6,0,4365,26,3,2,1382,441,1555,0,0,72,72,36,0,0,0,0,0,1391,1584,7522,1020,0,25,63,64,85,52,10,25,25,18,64,0,0,11030,426,0,293,42,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
