Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
992,2868,416,95,19,9999,0,1030,0,4038,4159,3,3,1478,490,2000,1,0,72,72,31,1,0,15,0,0,1391,1584,493,1080,0,21,72,61,77,80,19,14,21,22,14,0,0,12415,521,0,367,40,407,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
1991,2868,416,95,19,9999,0,1018,0,4038,4110,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,323,663,0,5,43,39,35,45,5,4,5,27,8,0,0,12415,521,0,367,40,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,96
2992,2868,416,95,19,9999,0,1027,0,4038,4147,3,3,1478,490,2000,1,0,72,72,29,0,0,0,0,0,1391,1584,330,1224,288,22,50,47,53,50,13,22,9,18,15,0,0,12415,521,0,367,40,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,288,96
3992,2868,416,95,19,9999,0,1377,0,4038,5560,3,3,1478,490,2000,1,0,72,72,30,0,0,0,0,0,1391,1584,338,1227,290,63,64,54,65,56,25,5,63,19,12,0,0,12415,521,0,367,40,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,290,96
4992,2868,416,95,19,9999,0,1463,0,4038,5907,3,3,1478,490,2000,1,0,32,72,41,0,14,34,0,0,1391,1584,7711,1386,302,14,64,42,52,52,14,14,5,18,79,0,0,12415,521,0,367,40,407,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,96
5992,2868,416,95,19,9999,0,1478,0,4038,5968,3,3,1478,490,2000,1,0,53,72,43,0,0,9,0,0,1391,1584,17490,1010,58,21,54,45,44,47,10,21,5,10,99,0,0,12415,521,0,367,40,407,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,96
6992,2868,416,95,19,9999,0,1469,0,4038,5931,3,3,1478,490,2000,1,0,42,72,59,0,17,31,0,0,1391,1584,15927,1080,292,19,23,40,27,38,10,13,19,10,99,0,0,12415,521,0,367,40,407,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,96
7992,2868,416,95,19,9999,0,1485,0,4038,5996,3,3,1478,490,2000,1,0,44,72,52,0,24,17,0,0,1391,1584,15923,937,0,18,42,31,33,28,18,9,10,21,99,0,0,12415,521,0,367,40,407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
8992,2868,416,95,19,9999,0,1483,0,4038,5988,3,3,1478,490,2000,1,0,45,72,52,0,26,14,0,0,1391,1584,17549,1103,131,18,29,45,33,36,10,18,0,14,96,0,0,12415,521,0,367,40,407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,96
9992,2868,416,95,19,9999,0,1307,0,4007,5237,3,3,1478,490,2000,1,0,43,72,52,0,20,23,0,0,1391,1584,49030,1158,291,0,42,42,42,54,0,0,0,14,99,0,0,12415,521,0,367,40,407,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,96
