Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
990,2673,555,96,30,9999,0,1102,0,4175,4600,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,251,1271,284,19,40,30,39,30,19,14,10,21,14,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,284,96
1990,2673,555,96,30,9999,0,1057,0,4175,4412,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1391,1584,321,1225,300,23,42,28,25,34,17,23,9,10,15,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,300,96
2990,2673,555,96,30,9999,0,1048,0,4175,4375,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1391,1584,321,1225,300,23,42,28,25,34,17,23,9,10,15,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,300,96
3990,2673,555,96,30,9999,0,1160,0,4175,4843,3,3,1478,490,2000,1,0,63,72,28,4,0,49,0,0,1391,1584,65535,1245,318,10,56,50,41,39,5,10,0,5,96,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,318,96
4990,2673,555,96,30,9999,0,1259,0,4175,5256,3,3,1478,490,2000,1,0,9,72,71,11,0,72,0,0,1391,1584,0,1366,306,5,45,48,46,33,4,4,5,5,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,306,96
5990,2673,555,96,30,9999,0,1315,0,4175,5490,3,3,1478,490,2000,1,0,10,72,64,8,0,72,0,0,1391,1584,0,933,58,9,41,33,36,37,4,9,0,14,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,58,96
6990,2673,555,96,30,9999,0,1281,0,4132,5293,3,3,1478,490,2000,1,0,10,72,39,10,0,72,0,0,1391,1584,0,857,0,13,36,33,34,36,9,13,9,18,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
7990,2673,555,96,30,9999,0,1365,0,4132,5640,3,3,1478,490,2000,1,0,10,72,38,10,0,72,0,0,1391,1584,0,857,0,13,36,33,34,36,9,13,9,18,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
8991,2673,555,96,30,9999,0,1284,0,4132,5305,3,3,1478,490,2000,1,0,10,72,48,18,0,72,0,0,1391,1584,757,1269,0,9,47,41,39,47,9,9,4,5,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
9991,2673,555,96,30,9999,0,1279,0,4132,5284,3,3,1478,490,2000,1,0,11,72,23,17,0,72,0,0,1391,1584,900,807,0,10,39,40,30,11,10,0,5,9,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
10991,2673,555,96,30,9999,0,1320,0,4132,5454,3,3,1478,490,2000,1,0,11,72,23,17,0,72,0,0,1391,1584,900,807,0,10,39,40,30,11,10,0,5,9,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
11991,2673,555,96,30,9999,0,1215,0,4132,5020,3,3,1478,490,2000,1,0,10,72,89,17,0,72,0,0,1391,1584,2265,852,0,4,30,31,22,16,4,4,0,19,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
12991,2673,555,96,30,9999,0,1273,0,4132,5260,3,3,1478,490,2000,1,0,5,72,72,18,0,72,0,0,1391,1584,43615,795,0,4,26,22,22,17,4,0,0,14,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
13991,2673,555,96,30,9999,0,1267,0,4132,5235,3,3,1478,490,2000,1,0,2,72,108,0,0,72,0,0,1391,1584,0,917,0,0,41,28,33,31,0,0,0,9,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
14991,2673,555,96,30,9999,0,1237,0,4132,5111,3,3,1478,490,2000,1,0,3,72,109,5,0,72,0,0,1391,1584,10237,912,0,5,36,39,41,21,5,5,0,21,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
15991,2673,555,96,30,9999,0,1299,0,4132,5367,3,3,1478,490,2000,1,0,3,72,109,5,0,72,0,0,1391,1584,10237,912,0,5,36,39,41,21,5,5,0,21,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
16991,2673,555,96,30,9999,0,1207,0,4136,4992,3,3,1478,490,2000,1,0,4,72,109,3,0,72,0,0,1391,1584,37,956,0,0,42,30,16,11,0,0,0,21,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
17991,2673,555,96,30,9999,0,1215,0,4136,5025,3,3,1478,490,2000,1,0,4,72,110,3,0,72,0,0,1391,1584,37,956,0,0,42,30,16,11,0,0,0,21,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
18991,2673,555,96,30,9999,0,1198,0,4136,4954,3,3,1478,490,2000,1,0,4,72,109,3,0,72,0,0,1391,1584,26178,943,0,9,38,30,22,21,0,0,9,14,99,0,0,12827,660,0,506,40,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
20005,2600,662,96,30,9999,0,1191,0,4136,4925,3,3,1478,490,2000,1,0,4,72,108,3,0,72,0,0,1391,1584,26178,943,0,9,38,30,22,21,0,0,9,14,99,0,0,13130,779,0,603,44,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
20991,2600,662,96,30,9999,0,1196,0,4136,4946,3,3,1478,490,2000,1,0,1,72,108,39,0,62,0,0,1391,1584,56320,843,0,4,15,43,30,31,0,4,0,0,99,0,0,13130,779,0,603,44,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
21991,2600,662,96,30,9999,0,1229,0,4136,5083,3,3,1478,490,2000,1,0,1,72,108,24,0,63,0,0,1391,1584,56354,837,0,4,47,34,38,33,4,0,4,5,99,0,0,13130,779,0,603,44,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
22991,2600,662,96,30,9999,0,1222,0,4136,5054,3,3,1478,490,2000,1,0,1,72,108,34,0,62,0,0,1391,1584,0,772,0,4,43,36,34,28,4,0,0,14,99,0,0,13130,779,0,603,44,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
23991,2600,662,96,30,9999,0,1210,0,4136,5004,3,3,1478,490,2000,1,0,2,72,108,23,0,67,0,0,1391,1584,3347,947,0,9,30,41,25,21,9,0,0,10,99,0,0,13130,779,0,603,44,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,96
24992,2600,662,96,30,9999,0,1249,0,4136,5165,3,3,1478,490,2000,1,0,4,72,109,25,0,72,0,0,1391,1584,30894,930,0,9,38,43,31,50,9,5,0,0,99,0,0,13130,779,0,603,44,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,96
