Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
989,3293,351,100,27,0,0,0,0,4380,0,3,2,1382,441,1353,0,0,73,72,26,0,5,38,0,0,1391,1584,363,758,0,13,54,43,31,22,9,13,5,0,9,0,0,11029,433,0,298,42,340,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
1989,3293,351,100,27,0,0,0,0,4380,0,3,2,1382,441,1555,0,0,72,72,26,0,0,0,0,0,1391,1584,364,759,0,9,40,39,34,41,9,9,9,5,9,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
2989,3293,351,100,27,0,0,66,0,4380,289,3,2,1382,441,1555,0,0,72,72,24,0,0,0,0,0,1391,1584,363,758,0,17,45,40,40,25,13,17,9,17,9,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
3989,3293,351,100,27,0,0,0,0,4381,0,3,2,1382,441,1804,0,0,72,72,25,0,0,0,0,0,1391,1584,363,764,0,61,54,39,45,27,61,15,10,13,9,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
4990,3293,351,100,27,0,0,6,0,4381,26,3,2,1382,441,1804,0,0,38,72,35,0,5,31,0,0,1391,1584,4066,959,0,14,50,34,45,6,10,5,14,5,31,0,0,11029,433,0,298,42,340,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
5989,3293,351,100,27,0,0,86,0,4381,376,3,2,1382,441,1804,0,0,66,72,44,0,29,17,0,0,1391,1584,4821,988,0,34,56,44,61,63,34,11,28,27,43,0,0,11029,433,0,298,42,340,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6990,3293,351,100,27,0,0,53,0,4381,232,3,2,1382,441,1804,0,0,72,72,52,0,140,1,0,0,1391,1584,5043,985,0,30,47,60,42,50,27,30,17,21,45,0,0,11029,433,0,298,42,340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
7990,3293,351,100,27,0,0,0,0,4381,0,3,2,1382,441,1804,0,0,71,72,45,0,144,0,0,0,1391,1584,5179,994,0,35,85,76,82,77,35,34,27,18,46,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
8990,3293,351,100,27,0,0,36,0,4381,157,3,2,1382,441,1804,0,0,72,72,34,0,1,0,0,0,1391,1584,4922,1040,0,36,55,41,57,69,36,31,28,14,44,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
9990,3293,351,100,28,9999,0,109,0,4371,476,3,2,1382,441,1804,0,0,72,72,34,0,0,0,0,0,1391,1584,4829,1058,0,30,73,60,55,76,30,23,12,21,44,0,0,11029,433,0,298,42,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
