Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
988,3120,427,100,29,0,0,0,0,4385,0,3,2,1382,441,1353,0,0,74,72,26,0,0,0,0,0,1391,1584,369,1888,0,13,47,31,17,18,5,13,13,0,15,0,0,11089,508,0,375,41,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
1988,3120,427,100,29,0,0,0,0,4385,0,3,2,1382,441,1353,0,0,72,72,26,0,0,0,0,0,1391,1584,364,1225,0,17,33,18,26,28,13,17,10,5,13,0,0,11089,508,0,375,41,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
2989,3120,427,100,29,0,0,0,0,4386,0,3,2,1382,441,1353,0,0,72,72,24,0,0,0,0,0,1391,1584,368,1227,0,9,31,23,30,6,5,5,9,5,13,0,0,11089,508,0,375,41,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
3988,3120,427,100,29,0,0,0,0,4386,0,3,2,1382,441,1555,0,0,72,72,24,0,0,0,0,0,1391,1584,363,1223,0,90,18,18,11,15,0,10,90,5,9,0,0,11089,508,0,375,41,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
4992,3120,427,100,29,0,0,47,0,4386,206,3,2,1382,441,1555,0,0,34,72,40,0,0,4,0,0,1391,1584,8891,1287,0,25,22,12,15,15,25,14,18,9,74,0,0,11089,508,0,375,41,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
5991,3120,427,100,29,0,0,15,0,4386,65,3,2,1382,441,1555,0,0,72,72,36,0,15,36,0,0,1391,1584,8647,1314,0,14,47,18,31,27,10,14,10,5,74,0,0,11089,508,0,375,41,417,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6989,3120,427,100,29,0,0,7,0,4386,30,3,2,1382,441,1555,0,0,72,72,34,0,0,0,0,0,1391,1584,5761,1299,0,10,47,36,26,33,10,10,10,5,50,0,0,11089,508,0,375,41,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
7988,3120,427,100,29,0,0,22,0,4386,96,3,2,1382,441,1555,0,0,72,72,34,0,0,0,0,0,1391,1584,8608,1313,0,22,45,27,38,12,22,15,18,5,73,0,0,11089,508,0,375,41,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
8990,3120,427,100,29,0,0,58,0,4386,254,3,2,1382,441,1555,0,0,71,72,34,0,0,0,0,0,1391,1584,5597,1396,0,33,73,52,52,68,28,23,33,14,55,0,0,11089,508,0,375,41,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
9988,3120,427,100,29,0,0,37,0,4377,161,3,2,1382,441,1555,0,0,73,72,34,0,0,1,0,0,1391,1584,8135,1303,0,19,39,42,33,36,5,14,19,9,69,0,0,11089,508,0,375,41,417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
