Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
992,3682,227,81,40,9999,0,1305,0,4076,5319,4,3,1382,492,2000,1,0,72,72,25,0,0,0,0,0,1622,1759,494,780,427,26,55,50,23,22,26,23,0,0,14,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,427,111
1987,3682,227,81,40,9999,0,1500,0,4076,7287,4,3,1382,492,2000,1,0,72,72,23,0,0,0,0,0,1622,1759,482,770,423,28,75,66,28,26,10,23,0,0,14,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,423,111
2987,3682,227,81,40,9999,0,1500,0,4076,6444,4,3,1382,492,2000,1,0,72,72,23,0,0,0,0,0,1622,1759,482,770,423,28,75,66,28,26,10,23,0,0,14,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,423,111
3989,3682,227,81,40,9999,0,1500,0,4041,7003,4,3,1382,492,2000,1,0,72,72,23,0,0,0,0,0,1622,1759,485,770,424,47,55,50,25,47,31,22,0,0,11,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,111
4988,3682,227,81,39,9999,0,1500,0,4041,7087,4,4,1516,545,2000,1,0,73,72,43,0,56,6,0,0,1622,1759,3490,736,0,28,60,50,25,23,23,28,0,0,31,0,0,12397,448,0,129,0,129,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
5988,3682,227,81,39,9999,0,1500,0,4041,6235,4,3,1382,492,1555,1,0,71,72,45,0,96,0,0,0,1622,1759,3968,1055,431,33,60,58,33,10,23,27,0,0,43,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,111
6988,3682,227,81,39,9999,0,1500,0,4041,6570,4,3,1382,492,1555,1,0,72,72,33,0,0,0,0,0,1622,1759,4754,1073,426,28,61,55,19,19,19,28,0,0,49,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,111
7988,3682,227,81,39,9999,0,1500,0,4041,6849,4,3,1382,492,1555,1,0,72,72,32,0,0,0,0,0,1622,1759,5682,1099,435,31,68,64,31,19,25,28,0,0,54,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,111
8988,3682,227,81,39,9999,0,1500,0,4041,6958,4,3,1382,492,1555,1,0,73,72,32,0,0,0,0,0,1622,1759,8405,975,295,31,63,57,31,19,23,21,0,0,70,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,111
9988,3682,227,81,39,9999,0,1500,0,4041,6716,4,4,1382,492,1555,1,0,73,72,34,0,0,0,0,0,1622,1759,6874,689,0,21,55,47,11,19,21,19,0,0,57,0,0,12397,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
