Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
988,3432,286,78,41,9999,0,1500,0,4030,7500,4,3,1382,492,1555,1,0,73,72,29,0,0,0,0,0,1622,1759,400,767,424,31,78,69,30,28,19,31,0,0,13,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,111
1988,3432,286,78,42,9999,0,1473,0,3994,5883,4,3,1382,492,1555,1,0,72,72,24,0,0,0,0,0,1622,1759,476,768,421,31,52,61,28,28,31,25,0,0,13,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,421,111
2989,3432,286,78,42,9999,0,1303,0,3994,5204,4,3,1382,492,1555,1,0,73,72,22,0,0,0,0,0,1622,1759,411,777,433,19,52,57,14,19,15,15,0,0,13,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,433,111
3989,3432,286,78,42,9999,0,1500,0,3994,6270,4,3,1382,492,2000,1,0,72,72,23,0,0,14,0,0,1622,1759,6589,778,422,38,57,47,38,19,38,25,0,0,19,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,422,111
4989,3432,286,78,42,9999,0,1500,0,3994,7500,4,3,1382,492,2000,1,0,72,72,23,0,0,14,0,0,1622,1759,6589,778,422,38,57,47,38,19,38,25,0,0,19,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,111
5989,3432,286,78,42,9999,0,1500,0,3994,7500,4,5,1382,599,1708,1,0,73,72,39,0,16,4,0,0,1622,1759,12956,870,356,28,55,55,14,16,28,19,0,0,93,0,0,12434,521,0,158,0,158,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,111
6988,3432,286,78,42,9999,0,1500,0,3994,7500,4,5,1382,599,1708,1,0,71,72,43,0,1,0,0,0,1622,1759,8120,853,359,22,50,52,19,22,22,21,0,0,74,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,111
7989,3432,286,78,42,9999,0,1500,0,3994,7500,4,5,1382,599,1708,1,0,71,72,43,0,1,0,0,0,1622,1759,8120,853,359,22,50,52,19,22,22,21,0,0,74,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,111
8989,3432,286,78,42,9999,0,1500,0,3994,7500,4,5,1382,599,1555,1,0,72,72,37,1,0,17,0,0,1622,1759,55405,849,351,21,60,57,5,14,5,21,0,0,98,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,111
9989,3432,286,78,42,9999,0,1500,0,3994,7500,4,5,1382,599,1555,1,0,27,72,52,4,0,73,0,0,1622,1759,65535,865,350,17,50,57,10,14,17,14,0,0,99,0,0,12434,521,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,111
