Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
991,3418,171,73,21,9999,0,1014,0,3870,3924,4,3,2361,492,2000,1,0,71,72,31,0,0,25,0,0,1622,1759,790,663,0,38,60,61,30,30,38,36,0,0,13,0,0,11652,378,0,97,0,97,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
1992,3418,171,73,21,9999,0,1058,0,3870,4094,4,3,1382,492,1555,1,0,71,72,32,0,0,2,0,0,1622,1759,706,480,0,19,50,50,19,14,19,15,0,0,9,0,0,11652,378,0,97,0,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,111
2991,3418,171,73,21,9999,0,1089,0,3870,4214,4,3,1382,492,1555,1,0,72,72,30,0,0,2,0,0,1622,1759,575,778,424,27,44,52,19,23,23,27,0,0,15,0,0,11652,378,0,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,424,111
3992,3418,171,73,21,9999,0,1319,0,3870,5104,4,3,1382,492,1555,1,0,72,72,29,0,0,0,0,0,1622,1759,703,776,423,23,55,50,23,23,19,15,0,0,15,0,0,11652,378,0,97,0,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,423,111
4992,3418,171,73,21,9999,0,1500,0,3870,6629,4,3,1382,492,1555,1,0,42,72,35,0,0,13,0,0,1622,1759,5022,962,430,28,57,52,28,28,27,22,0,0,25,0,0,11652,378,0,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,111
5992,3418,171,73,21,9999,0,1500,0,3929,6219,4,3,1382,492,2000,1,0,59,72,44,0,37,36,0,0,1622,1759,2745,972,425,33,52,57,30,33,25,30,0,0,39,0,0,11652,378,0,97,0,97,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,425,111
6992,3418,171,72,23,9999,0,1500,0,3929,6667,4,3,1382,492,1708,1,0,71,72,47,0,121,2,0,0,1622,1759,4158,1118,427,30,55,55,25,30,15,22,0,0,45,0,0,11652,378,0,97,0,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,427,111
7993,3418,171,72,23,9999,0,1419,0,3929,5575,4,3,1382,492,1555,1,0,72,72,35,0,29,0,0,0,1622,1759,4404,1107,426,26,55,60,23,26,22,11,0,0,45,0,0,11652,378,0,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,111
8993,3418,171,72,23,9999,0,1500,0,3929,6019,4,3,1382,492,1708,1,0,72,72,33,0,0,0,0,0,1622,1759,5367,1111,422,33,69,64,33,30,31,33,0,0,49,0,0,11652,378,0,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,422,111
9992,3418,171,72,23,9999,0,1402,0,3934,5515,4,3,1382,492,1708,1,0,72,72,33,0,0,0,0,0,1622,1759,5062,1188,427,28,64,63,19,19,28,27,0,0,47,0,0,11652,378,0,97,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,111
