Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
987,3014,227,82,39,9999,0,1291,0,4072,5256,4,3,1382,492,1555,1,0,72,72,31,0,0,0,0,0,1622,1759,435,779,424,28,57,57,27,21,21,28,0,0,14,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,111
1987,3014,227,82,39,9999,0,1273,0,4072,5183,4,3,1382,492,1555,1,0,72,72,31,0,0,0,0,0,1622,1759,435,779,424,28,57,57,27,21,21,28,0,0,14,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,424,111
2990,3014,227,82,39,9999,0,1500,0,4072,6124,4,3,1382,492,2000,1,0,72,72,25,0,0,0,0,0,1622,1759,488,772,426,28,60,57,19,23,28,23,0,0,14,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,426,111
3986,3014,227,82,39,9999,0,1500,0,4072,7126,4,3,1382,492,2000,1,0,41,72,32,0,0,20,0,0,1622,1759,7763,951,454,31,69,66,26,31,25,31,0,0,41,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,454,111
4987,3014,227,82,39,9999,0,1500,0,4072,7484,4,3,1382,492,1555,1,0,72,72,35,0,17,13,0,0,1622,1759,4946,969,423,25,60,57,25,25,19,23,0,0,61,0,0,12361,448,0,129,0,129,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,111
5987,3014,227,82,39,9999,0,1500,0,4072,7500,4,4,1382,545,2000,1,0,71,72,37,0,10,4,0,0,1622,1759,7756,963,386,23,58,52,23,23,19,16,0,0,69,0,0,12361,448,0,129,0,129,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,111
6987,3014,227,82,39,9999,0,1500,0,4072,7484,4,3,1382,492,2000,1,0,72,72,36,0,0,0,0,0,1622,1759,7427,1005,425,27,55,55,27,15,23,23,0,0,67,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,111
7990,3014,227,82,39,9999,0,1500,0,4072,7187,4,3,1382,492,2000,1,0,72,72,34,0,0,0,0,0,1622,1759,7480,1010,427,28,57,60,21,19,28,21,0,0,70,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,111
8988,3014,227,82,39,9999,0,1500,0,4019,7500,4,3,1382,492,2000,1,0,72,72,34,0,0,0,0,0,1622,1759,7480,1010,427,28,57,60,21,19,28,21,0,0,70,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,111
9987,3014,227,82,38,9999,0,1500,0,4019,7185,4,4,1382,545,1555,1,0,24,72,89,0,4,57,0,0,1622,1759,31981,707,0,22,61,47,22,18,18,18,0,0,75,0,0,12361,448,0,129,0,129,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
10987,3014,227,82,38,9999,0,1500,0,4019,7500,4,5,1382,599,2000,1,0,70,72,50,0,50,16,0,0,1622,1759,9363,1011,349,36,77,73,36,31,26,26,0,0,95,0,0,12361,448,0,129,0,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,111
11987,3014,227,82,38,9999,0,1500,0,4019,7500,4,5,1382,599,2000,1,0,70,72,50,0,50,16,0,0,1622,1759,9363,1011,349,36,77,73,36,31,26,26,0,0,95,0,0,12361,448,0,129,0,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,111
12987,3014,227,82,38,9999,0,1500,0,4019,7500,4,5,1382,599,2000,1,0,45,72,51,0,21,32,0,0,1622,1759,17007,931,351,27,57,57,19,23,10,27,0,0,94,0,0,12361,448,0,129,0,129,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,111
13987,3014,227,82,38,9999,0,1500,0,4019,7500,4,5,1382,599,1555,1,0,45,72,51,4,6,51,0,0,1622,1759,65535,815,352,23,57,55,19,14,18,23,0,0,99,0,0,12361,448,0,129,0,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,111
14987,3014,227,82,38,9999,0,1500,0,4019,7500,4,5,1382,599,1708,1,0,20,72,45,0,0,73,0,0,1622,1759,65535,831,351,14,60,52,14,10,10,10,0,0,99,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,111
15988,3014,227,82,38,9999,0,1500,0,4019,7500,4,5,1382,599,1555,1,0,11,72,48,0,2,69,0,0,1622,1759,44898,811,354,14,52,55,14,10,14,10,0,0,97,0,0,12361,448,0,129,0,129,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,111
16988,3014,227,82,38,9999,0,1500,0,4019,7500,4,5,1382,599,1708,1,0,13,72,91,0,20,48,0,0,1622,1759,6779,868,351,31,52,55,25,31,14,15,0,0,95,0,0,12361,448,0,129,0,129,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,111
17989,3014,227,82,38,9999,0,1500,0,4019,7500,4,5,1382,599,1708,1,0,50,72,53,0,45,4,0,0,1622,1759,8018,931,356,23,50,66,23,19,21,21,0,0,76,0,0,12361,448,0,129,0,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,111
18989,3014,227,82,38,9999,0,1500,0,4009,7500,4,5,1382,599,1708,1,0,72,72,53,0,54,0,0,0,1622,1759,8123,944,357,30,61,57,25,19,30,30,0,0,68,0,0,12361,448,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,111
20003,2977,247,82,38,9999,0,1500,0,4009,7488,4,5,1382,599,1708,1,0,71,72,43,0,0,0,0,0,1622,1759,5706,886,354,33,72,69,26,30,30,33,0,0,54,0,0,12678,505,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,111
20989,2977,247,82,38,9999,0,1500,0,4009,7148,4,4,1382,545,1555,1,0,73,72,35,0,0,0,0,0,1622,1759,6477,765,0,27,57,63,19,15,22,27,0,0,50,0,0,12678,505,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
