Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
987,2676,447,77,38,9999,0,1390,0,4036,5610,4,3,1382,492,1555,1,0,71,72,30,0,0,4,0,0,1622,1759,376,768,422,30,60,57,11,30,21,16,0,0,13,0,0,12794,663,0,336,0,336,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,113,2,99,1,0,1,4,37,2,0,99,0,0,0,422,111
1986,2676,447,77,38,9999,0,1180,0,4036,4762,4,3,1382,492,1555,1,0,72,72,32,0,0,0,0,0,1622,1759,431,777,425,27,60,61,23,23,27,27,0,0,13,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,113,2,99,1,0,0,4,37,2,0,99,1,72,0,425,111
2986,2676,447,77,38,9999,0,1324,0,4036,5343,4,3,1382,492,2000,1,0,72,72,27,0,0,0,0,0,1622,1759,424,769,428,31,64,52,15,19,26,31,0,0,13,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,113,2,99,1,0,0,4,37,2,0,99,1,72,0,428,111
3986,2676,447,77,38,9999,0,1500,0,4036,7500,4,4,1382,492,2000,1,0,65,72,25,0,3,40,0,0,1622,1759,31665,626,0,25,52,52,19,14,19,25,0,0,87,0,0,12794,663,0,336,0,336,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,60,85,77,2,60,40,0,17,1,19,3,0,88,0,71,0,0,111
4986,2676,447,77,38,9999,0,1500,0,4036,6982,4,4,1382,545,1555,1,0,22,72,56,1,2,64,0,0,1622,1759,65535,604,0,19,55,50,14,10,10,19,0,0,99,0,0,12794,663,0,336,0,336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7542,0,36,110,1,24,76,0,21,0,31,1,0,97,0,0,0,0,111
5986,2676,447,77,38,9999,0,1500,0,4036,7119,4,5,1382,545,1708,1,0,11,72,25,13,0,72,0,0,1622,1759,65535,826,648,18,61,57,14,18,14,5,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,52,110,2,16,84,0,21,0,36,0,0,100,0,0,0,648,111
6986,2676,447,77,37,9999,0,1500,0,3978,7188,4,5,1382,599,1555,1,0,11,72,21,1,0,73,0,0,1622,1759,65535,821,541,25,66,64,25,22,11,21,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,194,70,98,2,40,60,0,14,1,31,1,0,97,0,0,0,541,111
7986,2676,447,77,37,9999,0,1500,0,3978,7251,4,5,1382,599,1555,1,0,10,72,42,1,0,73,0,0,1622,1759,65535,1088,656,19,58,57,5,19,14,14,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,674,34,110,1,26,74,0,11,0,34,0,0,99,0,0,0,656,111
8987,2676,447,77,37,9999,0,1500,0,3978,7500,4,5,1382,599,1555,1,0,10,72,33,0,0,72,0,0,1622,1759,65535,867,568,21,61,60,15,21,15,19,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,52,109,2,17,83,0,9,0,36,0,0,100,0,65,0,568,111
9986,2676,447,77,37,9999,0,1500,0,3978,6687,4,5,1382,599,1708,1,0,10,72,30,0,0,72,0,0,1622,1759,65535,845,387,14,55,52,0,14,5,14,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9,51,100,2,19,81,0,16,0,36,0,0,100,0,65,0,387,111
10986,2676,447,77,37,9999,0,1500,0,3978,7500,4,5,1382,599,1708,1,0,10,72,23,1,0,73,0,0,1622,1759,65535,1099,614,19,52,63,19,19,14,19,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,949,28,109,1,22,78,0,28,0,34,0,0,99,0,2,0,614,111
11989,2676,447,77,37,9999,0,1500,0,3978,7500,4,5,1382,599,1555,1,0,10,72,38,1,0,72,0,0,1622,1759,65535,1122,574,27,75,75,5,27,11,19,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,959,31,109,1,29,71,0,28,0,33,1,0,99,0,11,0,574,111
12986,2676,447,77,37,9999,0,1500,0,3978,7500,4,5,1382,599,1708,1,0,10,72,19,0,0,73,0,0,1622,1759,65535,1171,544,23,76,71,23,23,14,16,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,999,36,107,1,32,68,0,26,0,31,1,0,97,0,10,0,544,111
13986,2676,447,77,37,9999,0,1500,0,3978,7500,4,5,1382,599,1555,1,0,11,72,28,0,0,72,0,0,1622,1759,65535,1141,445,26,57,60,10,10,19,26,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,766,35,98,1,28,72,0,24,0,32,1,0,97,0,10,0,445,111
14987,2676,447,77,37,9999,0,1500,0,3978,7500,4,5,1382,599,1555,1,0,11,72,29,0,0,72,0,0,1622,1759,65535,1151,703,19,55,57,10,5,9,19,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,999,34,107,1,33,67,0,19,0,32,1,0,97,0,10,0,703,111
15987,2676,447,77,37,9999,0,1500,0,3978,7500,4,5,1382,599,1555,1,0,11,72,30,1,0,73,0,0,1622,1759,65535,1152,596,23,55,57,10,5,5,23,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,999,31,97,1,29,71,0,20,1,33,1,0,98,0,10,0,596,111
16987,2676,447,77,37,9999,0,1500,0,3981,7500,4,5,1382,599,1555,1,0,11,72,27,0,0,72,0,0,1622,1759,65535,1144,477,36,75,75,35,36,21,33,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,856,26,109,1,17,83,0,27,0,35,0,0,99,0,10,0,477,111
17987,2676,447,77,37,9999,0,1500,0,3981,7416,4,5,1382,599,1555,1,0,10,72,52,3,0,73,0,0,1622,1759,65535,845,0,14,55,47,5,5,10,14,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,17,39,109,1,23,77,0,29,0,30,1,0,97,0,10,0,0,111
18987,2676,447,77,37,9999,0,1500,0,3981,7193,4,4,1382,545,1555,1,0,8,72,21,1,0,72,0,0,1622,1759,65535,1135,471,13,60,50,5,0,13,10,0,0,99,0,0,12794,663,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,943,39,99,1,29,71,0,24,0,32,1,0,97,0,10,0,471,111
20006,2482,577,77,37,9999,0,1500,0,3981,7500,4,5,1382,599,1708,1,0,4,72,109,1,0,72,0,0,1622,1759,65535,999,716,22,61,60,10,18,14,22,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,340,68,103,2,32,68,0,17,1,32,1,0,97,0,0,0,716,111
20987,2482,577,77,37,9999,0,1500,0,3981,7500,4,5,1382,599,1708,1,0,4,72,109,1,0,72,0,0,1622,1759,65535,999,716,22,61,60,10,18,14,22,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,33,62,110,2,27,73,0,29,0,33,1,0,99,0,0,0,716,111
21987,2482,577,77,37,9999,0,1500,0,3981,7500,4,5,1382,599,1555,1,0,4,72,105,1,0,73,0,0,1622,1759,65535,789,589,14,60,55,13,14,5,10,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,547,64,104,2,28,72,0,23,1,33,1,0,98,0,0,0,589,111
22987,2482,577,77,37,9999,0,1500,0,3981,7500,4,5,1382,599,1555,1,0,4,72,106,1,0,73,0,0,1622,1759,65535,789,589,14,60,55,13,14,5,10,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,19,55,99,2,20,80,0,24,0,35,0,0,99,0,0,0,589,111
23987,2482,577,77,37,9999,0,1500,0,3981,7500,4,5,1382,599,1555,1,0,4,72,108,0,0,73,0,0,1622,1759,65535,877,746,18,55,47,10,18,4,5,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,54,110,2,18,82,0,29,0,35,0,0,99,0,0,0,746,111
24987,2482,577,77,37,9999,0,1500,0,3981,7500,4,5,1382,599,1555,1,0,4,72,107,0,0,73,0,0,1622,1759,65535,823,572,14,55,55,10,14,9,10,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,355,61,110,2,29,71,0,29,0,33,1,0,99,0,0,0,572,111
25987,2482,577,77,37,9999,0,1500,0,3981,7500,4,5,1382,599,1555,1,0,4,72,108,0,0,73,0,0,1622,1759,65535,777,488,14,61,55,5,14,5,10,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,106,61,110,2,26,74,0,29,0,33,1,0,99,0,0,0,488,111
26988,2482,577,77,38,9999,0,1500,0,3952,7500,4,5,1382,599,1555,1,0,4,72,107,0,0,72,0,0,1622,1759,65535,873,571,14,63,65,13,5,10,14,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,375,57,110,2,23,77,0,28,0,34,0,0,99,0,0,0,571,111
27988,2482,577,77,38,9999,0,1500,0,3952,7500,4,5,1382,599,1555,1,0,4,72,107,0,0,72,0,0,1622,1759,65535,873,571,14,63,65,13,5,10,14,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,235,64,98,2,26,74,0,23,0,33,1,0,97,0,0,0,571,111
28989,2482,577,77,38,9999,0,1500,0,3952,7208,4,5,1382,599,1555,1,0,4,72,108,0,0,73,0,0,1622,1759,0,813,542,23,60,50,23,5,10,10,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,999,30,108,1,17,83,0,27,0,36,0,0,99,0,0,0,542,111
29988,2482,577,77,38,9999,0,1500,0,3952,7500,4,5,1382,599,1555,1,0,3,72,108,3,0,73,0,0,1622,1759,65535,1054,605,14,61,52,10,0,10,14,0,0,99,0,0,13103,861,0,406,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,999,31,109,1,19,81,0,28,0,34,0,0,99,0,11,0,605,111
