Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
987,3449,445,83,37,9999,0,1297,0,4093,5308,4,3,2361,492,2000,1,0,72,72,29,0,0,16,0,0,1622,1759,402,772,420,30,63,57,25,15,30,25,0,0,14,0,0,12939,660,0,336,0,336,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,420,111
1986,3449,445,83,37,9999,0,1263,0,4093,5169,4,3,1382,492,1555,1,0,72,72,24,0,0,0,0,0,1622,1759,560,762,393,31,58,63,21,21,31,25,0,0,12,0,0,12939,660,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,393,111
2986,3449,445,83,37,9999,0,1500,0,4088,6585,4,3,1382,492,1555,1,0,72,72,23,0,0,0,0,0,1622,1759,560,762,393,31,58,63,21,21,31,25,0,0,12,0,0,12939,660,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,393,111
3986,3449,445,83,37,9999,0,1500,0,4088,7415,4,3,1382,492,1555,1,0,72,72,23,0,0,0,0,0,1622,1759,465,477,0,45,59,54,33,45,25,30,0,0,5,0,0,12939,660,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,111
4986,3449,445,83,37,9999,0,1500,0,4088,7500,4,5,1382,599,1555,1,0,14,72,62,2,0,72,0,0,1622,1759,64333,827,353,14,60,57,10,14,10,10,0,0,99,0,0,12939,660,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,111
5986,3449,445,83,37,9999,0,1500,0,4088,7500,4,5,1382,599,1555,1,0,19,72,61,0,16,68,0,0,1622,1759,12020,817,351,23,64,61,19,23,15,11,0,0,83,0,0,12939,660,0,336,0,336,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,111
6986,3449,445,83,37,9999,0,1500,0,4088,7500,4,5,1382,599,1555,1,0,19,72,61,0,16,68,0,0,1622,1759,12020,817,351,23,64,61,19,23,15,11,0,0,83,0,0,12939,660,0,336,0,336,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,111
7986,3449,445,83,37,9999,0,1500,0,4088,7500,4,5,1382,599,2000,1,0,45,72,47,0,16,33,0,0,1622,1759,58193,824,357,14,60,52,14,10,14,14,0,0,99,0,0,12939,660,0,336,0,336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,111
8987,3449,445,83,37,9999,0,1500,0,4088,7500,4,5,1382,599,1555,1,0,55,72,56,0,59,22,0,0,1622,1759,4141,570,0,25,57,55,19,15,25,23,0,0,66,0,0,12939,660,0,336,0,336,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
9987,3449,445,83,37,9999,0,1500,0,4088,7500,4,5,1382,545,1708,1,0,71,72,49,0,66,0,0,0,1622,1759,8066,820,353,28,61,57,21,19,19,28,0,0,69,0,0,12939,660,0,336,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,111
