Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
988,3138,284,86,33,9999,0,1291,0,4034,5207,4,3,1382,492,1555,1,0,72,72,31,0,0,7,0,0,1622,1759,493,774,424,27,63,63,21,27,22,25,0,0,14,0,0,12396,520,0,158,0,158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,111
1987,3138,284,86,33,9999,0,1404,0,4034,5663,4,3,1382,492,1555,1,0,73,72,31,0,0,7,0,0,1622,1759,534,772,420,28,57,63,28,19,25,21,0,0,14,0,0,12396,520,0,158,0,158,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,420,111
2988,3138,284,86,33,9999,0,1363,0,4034,5498,4,3,1382,492,2000,1,0,72,72,28,0,0,0,0,0,1622,1759,450,766,423,25,63,57,16,21,15,25,0,0,13,0,0,12396,520,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,423,111
3988,3138,284,86,33,9999,0,1500,0,4034,6180,4,3,1382,492,2000,1,0,72,72,26,0,0,0,0,0,1622,1759,6345,877,420,31,60,57,19,21,19,31,0,0,35,0,0,12396,520,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,420,111
4989,3138,284,86,33,9999,0,1492,0,4034,6018,4,3,1382,492,2000,1,0,72,72,26,0,0,0,0,0,1622,1759,6345,877,420,31,60,57,19,21,19,31,0,0,35,0,0,12396,520,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,111
5988,3138,284,86,33,9999,0,1500,0,4034,6950,4,3,1382,492,1555,1,0,39,72,33,0,18,35,0,0,1622,1759,4046,1071,425,27,55,64,25,27,23,25,0,0,54,0,0,12396,520,0,158,0,158,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,111
6988,3138,284,86,33,9999,0,1500,0,4034,6740,4,3,1382,492,1708,1,0,73,72,33,0,0,3,0,0,1622,1759,6312,793,0,28,52,57,26,19,28,15,0,0,50,0,0,12396,520,0,158,0,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
7988,3138,284,86,33,9999,0,1500,0,4034,6357,4,3,1382,492,1555,1,0,74,72,36,0,1,2,0,0,1622,1759,6255,841,427,31,57,61,22,31,30,25,0,0,53,0,0,12396,520,0,158,0,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,427,111
8988,3138,284,86,33,9999,0,1500,0,4034,7500,4,3,1382,492,1555,1,0,74,72,36,0,1,2,0,0,1622,1759,6255,841,427,31,57,61,22,31,30,25,0,0,53,0,0,12396,520,0,158,0,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,427,111
9989,3138,284,86,33,9999,0,1500,0,4068,6541,4,3,1382,492,2000,1,0,73,72,34,0,0,0,0,0,1622,1759,8042,844,0,35,68,69,35,15,31,30,0,0,60,0,0,12396,520,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,111
