Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
987,3705,249,84,36,9999,0,1487,0,4086,6075,4,3,1382,492,1708,1,0,72,72,30,0,0,10,0,0,1622,1759,512,766,419,39,73,70,31,39,34,38,0,0,14,0,0,12450,467,0,131,0,131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,419,111
1987,3705,249,84,36,9999,0,1375,0,4086,5618,4,3,1382,492,2000,1,0,72,72,28,0,0,10,0,0,1622,1759,469,768,419,34,69,66,34,27,27,28,0,0,14,0,0,12450,467,0,131,0,131,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,419,111
2987,3705,249,84,36,9999,0,1224,0,4086,5001,4,3,1382,492,2000,1,0,72,72,26,0,0,0,0,0,1622,1759,567,778,422,30,70,68,27,30,27,15,0,0,14,0,0,12450,467,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,422,111
3991,3705,249,84,36,9999,0,1500,0,4086,6803,4,3,1382,492,2000,1,0,40,72,32,0,0,0,0,0,1622,1759,4294,954,422,38,72,66,30,34,38,33,0,0,28,0,0,12450,467,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,111
4988,3705,249,84,36,9999,0,1496,0,4086,6112,4,3,1382,492,2000,1,0,40,72,32,0,0,0,0,0,1622,1759,4294,954,422,38,72,66,30,34,38,33,0,0,28,0,0,12450,467,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,111
5987,3705,249,84,36,9999,0,1500,0,4086,7060,4,3,1382,492,1555,1,0,72,72,34,0,22,36,0,0,1622,1759,2278,1119,433,41,72,74,33,41,30,25,0,0,41,0,0,12450,467,0,131,0,131,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,111
6988,3705,249,84,36,9999,0,1500,0,4086,6173,4,3,1382,492,1708,1,0,72,72,32,0,3,0,0,0,1622,1759,3882,1087,426,34,75,72,34,34,25,30,0,0,41,0,0,12450,467,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,111
7988,3705,249,84,36,9999,0,1500,0,4086,7500,4,3,1382,492,2000,1,0,72,72,30,0,0,0,0,0,1622,1759,3403,1116,422,42,82,80,40,42,30,36,0,0,38,0,0,12450,467,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,111
8988,3705,249,84,36,9999,0,1500,0,4086,7500,4,3,1382,492,2000,1,0,72,72,29,0,0,0,0,0,1622,1759,3788,1027,421,39,79,73,36,39,22,28,0,0,38,0,0,12450,467,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,111
9988,3705,249,84,36,9999,0,1478,0,4086,6039,4,3,1382,492,1555,1,0,72,72,32,0,0,0,0,0,1622,1759,3809,1144,431,41,69,70,31,41,35,36,0,0,39,0,0,12450,467,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,111
