Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
990,7505,541,51,25,9999,0,1500,0,3667,5713,3,3,1478,490,2000,1,0,72,72,29,0,0,0,0,0,1390,1584,351,673,0,17,39,29,25,57,17,10,10,23,9,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
1991,7505,541,51,25,9999,0,1500,0,3667,6127,3,3,1478,490,2000,1,0,72,72,28,0,0,0,0,0,1390,1584,345,665,0,22,33,39,42,35,10,22,15,23,9,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,96
2991,7505,541,51,25,9999,0,1500,0,3667,5650,3,3,1478,490,2000,1,0,72,72,27,0,0,0,0,0,1390,1584,345,665,0,22,33,39,42,35,10,22,15,23,9,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
3991,7505,541,51,25,9999,0,1500,0,3667,6450,3,3,1478,490,2000,1,0,72,72,27,0,0,0,0,0,1390,1584,347,667,0,82,55,44,60,66,14,10,82,19,6,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,96
4991,7505,541,51,25,9999,0,1500,0,3667,7066,3,3,1478,490,2000,1,0,72,72,26,0,0,0,0,0,1390,1584,2760,676,0,9,31,31,23,35,9,0,9,33,94,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,96
5991,7505,541,51,25,9999,0,1500,0,3638,6857,3,3,1478,490,2000,1,0,4,72,27,12,0,61,0,0,1390,1584,65535,687,0,13,31,36,33,35,13,9,4,27,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6991,7505,541,51,25,9999,0,1500,0,3638,7126,3,3,1478,490,2000,1,0,11,72,94,9,0,67,0,0,1390,1584,663,886,0,9,22,30,11,23,5,9,5,16,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
7991,7505,541,51,25,9999,0,1500,0,3638,7174,3,3,1478,490,2000,1,0,10,72,116,7,0,67,0,0,1390,1584,125,924,0,10,14,14,23,27,10,5,5,21,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
8991,7505,541,51,25,9999,0,1500,0,3638,7214,3,3,1478,490,2000,1,0,11,72,117,13,0,59,0,0,1390,1584,0,496,0,9,33,7,30,28,0,9,4,29,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
9991,7505,541,51,25,9999,0,1500,0,3638,7159,3,3,1478,490,2000,1,0,11,72,118,13,0,59,0,0,1390,1584,0,496,0,9,33,7,30,28,0,9,4,29,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
10991,7505,541,51,25,9999,0,1500,0,3638,7203,3,3,1478,490,2000,1,0,10,72,117,28,0,44,0,0,1390,1584,0,490,0,9,43,45,40,22,9,9,9,19,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
11991,7505,541,51,25,9999,0,1500,0,3638,7170,3,3,1478,490,2000,1,0,10,72,117,28,0,44,0,0,1390,1584,0,490,0,9,43,45,40,22,9,9,9,19,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
12991,7505,541,51,25,9999,0,1500,0,3638,6810,3,3,1478,490,2000,1,0,8,72,93,28,0,44,0,0,1390,1584,11555,794,0,9,17,44,12,22,9,0,4,28,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
13991,7505,541,51,25,9999,0,1500,0,3638,6883,3,3,1478,490,2000,1,0,8,72,94,11,0,62,0,0,1390,1584,48705,849,0,4,11,35,21,21,4,0,4,21,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
14991,7505,541,51,25,9999,0,1500,0,3638,6977,3,3,1478,490,2000,1,0,2,72,111,10,0,62,0,0,1390,1584,20904,829,0,4,22,50,16,15,4,4,4,19,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
15991,7505,541,51,25,9999,0,1500,0,3642,6916,3,3,1478,490,2000,1,0,2,72,110,12,0,61,0,0,1390,1584,22099,768,0,4,27,44,26,22,4,4,0,5,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
16991,7505,541,51,25,9999,0,1500,0,3642,6836,3,3,1478,490,2000,1,0,2,72,111,12,0,62,0,0,1390,1584,20479,957,0,4,30,31,16,17,0,4,0,10,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
17992,7505,541,51,25,9999,0,1500,0,3642,6905,3,3,1478,490,2000,1,0,2,72,112,12,0,62,0,0,1390,1584,22150,870,0,9,29,33,36,26,9,0,0,23,99,0,0,12797,654,0,492,40,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
