Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
991,7894,326,58,24,9999,0,1500,0,3699,5833,3,3,1478,490,2000,1,0,72,72,34,0,0,0,0,0,1390,1584,380,1287,641,14,26,50,45,44,14,4,14,15,18,0,0,12316,439,0,278,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,641,96
1991,7894,326,58,24,9999,0,1500,0,3699,5855,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1390,1584,361,1284,635,14,29,44,45,50,14,14,10,22,18,0,0,12316,439,0,278,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,635,96
2991,7894,326,58,24,9999,0,1500,0,3699,5855,3,3,1478,490,2000,1,0,72,72,30,0,0,0,0,0,1390,1584,361,1284,635,14,29,44,45,50,14,14,10,22,18,0,0,12316,439,0,278,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,635,96
3991,7894,326,58,24,9999,0,1500,0,3699,6809,3,3,1478,490,2000,1,0,42,72,36,0,16,32,0,0,1390,1584,4268,1515,669,23,47,45,39,43,9,23,15,11,57,0,0,12316,439,0,278,40,318,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,669,96
4992,7894,326,58,24,9999,0,1500,0,3699,7009,3,3,1478,490,2000,1,0,72,72,38,0,0,1,0,0,1390,1584,7824,2747,648,28,61,61,57,73,27,28,15,31,75,0,0,12316,439,0,278,40,318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,96
5992,7894,326,58,24,9999,0,1500,0,3699,6998,3,3,1478,490,2000,1,0,73,72,45,0,1,0,0,0,1390,1584,6298,1428,0,25,31,30,33,39,25,14,5,27,56,0,0,12316,439,0,278,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6991,7894,326,58,24,9999,0,1500,0,3699,6950,3,3,1478,490,2000,1,0,72,72,41,0,0,0,0,0,1390,1584,6455,1431,0,19,30,22,36,22,5,5,19,14,58,0,0,12316,439,0,278,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
7991,7894,326,58,24,9999,0,1500,0,3699,6946,3,3,1478,490,2000,1,0,72,72,37,0,0,1,0,0,1390,1584,6918,1531,644,22,36,51,35,38,22,18,14,34,67,0,0,12316,439,0,278,40,318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,644,96
8991,7894,326,58,24,9999,0,1500,0,3676,7392,3,3,1478,490,2000,1,0,73,72,40,0,0,0,0,0,1390,1584,5182,2274,625,22,60,62,59,59,14,22,18,22,58,0,0,12316,439,0,278,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,625,96
9992,7894,326,58,24,9999,0,1500,0,3676,6980,3,3,1478,490,2000,1,0,72,72,36,0,0,3,0,0,1390,1584,7826,1046,0,28,63,61,69,64,28,27,21,40,64,0,0,12316,439,0,278,40,318,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
10992,7894,326,58,24,9999,0,1500,0,3676,7142,3,3,1478,490,2000,1,0,72,72,41,0,0,3,0,0,1390,1584,5180,926,0,14,26,42,50,39,14,5,14,31,48,0,0,12316,439,0,278,40,318,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
11992,7894,326,58,24,9999,0,1500,0,3676,7469,3,3,1478,490,2000,1,0,72,72,36,0,0,0,0,0,1390,1584,6911,1506,661,19,39,47,39,33,14,13,19,34,68,0,0,12316,439,0,278,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,96
12992,7894,326,58,24,9999,0,1500,0,3676,7028,3,3,1478,490,2000,1,0,72,72,37,0,0,0,0,0,1390,1584,8106,938,0,22,30,45,31,31,22,21,14,30,71,0,0,12316,439,0,278,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
