Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
981,7888,403,52,25,9999,0,1500,0,3672,6400,3,3,1478,490,2000,1,0,72,72,33,0,0,4,0,0,1390,1584,398,1827,629,14,55,61,47,52,0,5,14,23,23,0,0,12385,516,0,359,36,395,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,96
1981,7888,403,52,25,9999,0,1500,0,3672,5974,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1390,1584,400,885,0,28,29,36,55,19,9,28,14,15,13,0,0,12385,516,0,359,36,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,96
2981,7888,403,52,25,9999,0,1500,0,3672,5662,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1390,1584,400,885,0,28,29,36,55,19,9,28,14,15,13,0,0,12385,516,0,359,36,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
3981,7888,403,52,25,9999,0,1500,0,3672,6958,3,3,1478,490,2000,1,0,34,72,41,0,5,36,0,0,1390,1584,16464,1125,0,21,37,50,44,66,18,5,21,16,91,0,0,12385,516,0,359,36,395,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,96
4981,7888,403,52,25,9999,0,1500,0,3672,7500,3,4,1478,490,2000,1,0,48,72,51,0,5,25,0,0,1390,1584,17231,2010,621,10,52,60,52,50,10,5,10,19,97,0,0,12385,516,0,359,36,395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,621,96
5981,7888,403,52,25,9999,0,1500,0,3672,7500,3,4,1478,525,2000,1,0,50,72,55,0,19,26,0,0,1390,1584,15824,1432,662,14,38,52,47,42,14,14,14,30,99,0,0,12385,516,0,359,36,395,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,662,96
6981,7888,403,52,25,9999,0,1500,0,3672,7500,3,4,1478,525,2000,1,0,52,72,54,0,16,21,0,0,1390,1584,16244,1439,661,14,47,47,38,29,14,5,0,23,99,0,0,12385,516,0,359,36,395,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,96
7981,7888,403,52,25,9999,0,1500,0,3628,7500,3,4,1478,525,2000,1,0,54,72,52,0,20,21,0,0,1390,1584,19069,1220,419,19,47,36,54,31,14,19,0,16,92,0,0,12385,516,0,359,36,395,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,96
8981,7888,403,52,25,9999,0,1500,0,3628,7500,3,4,1478,490,2000,1,0,51,72,54,0,11,26,0,0,1390,1584,15287,1446,649,19,50,44,44,38,10,10,19,21,98,0,0,12385,516,0,359,36,395,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,96
9981,7888,403,52,25,9999,0,1500,0,3628,7500,3,4,1478,525,2000,1,0,26,72,55,2,8,49,0,0,1390,1584,24802,1451,670,9,36,42,35,44,0,9,9,19,99,0,0,12385,516,0,359,36,395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,96
