Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
992,7953,261,97,19,9999,0,1210,0,4120,4985,5,3,1478,525,2000,1,0,71,72,37,1,3,14,0,0,1390,1584,702,684,0,29,23,38,18,38,29,23,16,5,14,0,0,11788,369,0,252,1,253,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
1992,7953,261,97,19,9999,0,1201,0,4120,4948,5,3,1478,490,2000,1,0,72,72,36,0,0,0,0,0,1390,1584,865,672,0,19,15,25,22,5,14,10,19,14,12,0,0,11788,369,0,252,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
2992,7953,261,97,19,9999,0,1195,0,4120,4923,5,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1390,1584,874,675,0,21,11,11,14,21,21,5,18,14,12,0,0,11788,369,0,252,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
3993,7953,261,97,19,9999,0,1441,0,4120,5936,5,3,1478,490,2000,1,0,72,72,30,0,0,0,0,0,1390,1584,863,672,0,18,23,11,31,25,18,10,10,22,12,0,0,11788,369,0,252,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,96
4993,7953,261,97,19,9999,0,1500,0,4120,6662,5,4,2419,490,2000,1,0,35,72,40,0,10,37,0,0,1390,1584,3077,1440,601,19,27,38,23,29,19,5,11,31,48,0,0,11788,369,0,252,1,253,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,96
5993,7953,261,97,19,9999,0,1500,0,4120,6620,5,4,1478,587,2000,1,0,71,72,52,0,77,8,0,0,1390,1584,5776,955,0,19,35,18,34,11,19,18,5,14,49,0,0,11788,369,0,252,1,253,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6993,7953,261,97,19,9999,0,1500,0,4120,7500,5,4,1478,525,2000,1,0,72,72,58,0,143,0,0,0,1390,1584,5747,1455,686,18,41,28,35,35,14,18,14,14,58,0,0,11788,369,0,252,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,96
7993,7953,261,97,19,9999,0,1500,0,4120,6571,5,3,1478,490,2000,1,0,71,72,53,0,116,0,0,0,1390,1584,5771,1254,425,22,36,33,19,35,18,22,13,15,59,0,0,11788,369,0,252,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,96
8993,7953,261,97,19,9999,0,1500,0,4120,6530,5,3,1478,490,2000,1,0,72,72,42,0,58,0,0,0,1390,1584,6875,1050,0,20,13,21,18,0,19,20,14,14,58,0,0,11788,369,0,252,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
9993,7953,261,97,19,9999,0,1500,0,4120,6484,5,3,1478,490,2000,1,0,72,72,40,0,5,0,0,0,1390,1584,6698,1555,688,19,25,25,17,27,14,9,19,10,66,0,0,11788,369,0,252,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,96
