Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
990,2799,397,100,27,9999,0,1316,0,4206,5535,3,3,1382,490,2000,1,0,70,72,56,0,0,39,0,0,1391,1584,12754,931,0,30,48,39,39,33,30,22,29,14,97,0,0,12057,512,0,343,40,383,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
1990,2799,397,100,27,9999,0,1286,0,4206,5408,3,3,1382,490,1353,1,0,72,72,58,0,28,0,0,0,1391,1584,12025,928,0,27,40,48,31,37,27,14,15,25,93,0,0,12057,512,0,343,40,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
2990,2799,397,100,27,9999,0,1281,0,4206,5387,3,3,1382,490,1353,1,0,71,72,45,0,27,0,0,0,1391,1584,11550,947,0,27,31,34,50,44,10,23,27,0,91,0,0,12057,512,0,343,40,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
3990,2799,397,100,27,9999,0,1378,0,4206,5795,3,3,1382,490,1353,1,0,72,72,42,0,0,0,0,0,1391,1584,11153,954,0,27,37,39,39,39,19,27,26,13,88,0,0,12057,512,0,343,40,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
4990,2799,397,100,27,9999,0,1287,0,4203,5409,3,3,1382,490,1555,1,0,72,72,40,0,0,0,0,0,1391,1584,10856,911,0,18,37,43,33,30,5,18,14,10,86,0,0,12057,512,0,343,40,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
5990,2799,397,100,27,9999,0,1256,0,4203,5278,3,3,1382,490,1555,1,0,72,72,39,0,0,0,0,0,1391,1584,11402,910,0,22,31,41,36,30,21,22,18,13,89,0,0,12057,512,0,343,40,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6990,2799,397,100,27,9999,0,1280,0,4203,5379,3,3,1382,490,1555,1,0,72,72,39,0,0,0,0,0,1391,1584,10833,908,0,19,43,37,31,41,9,5,19,13,85,0,0,12057,512,0,343,40,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
7990,2799,397,100,27,9999,0,1352,0,4203,5682,3,3,1382,490,1555,1,0,72,72,38,0,0,0,0,0,1391,1584,12458,1310,0,27,33,36,34,37,18,22,27,5,98,0,0,12057,512,0,343,40,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
8991,2799,397,100,27,9999,0,1299,0,4203,5459,5,4,1382,490,1555,1,0,68,72,45,0,0,9,0,0,1391,1584,14004,4139,275,36,86,78,91,100,36,34,22,25,98,0,0,12057,512,0,343,40,383,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,96
33997,2734,501,100,27,9999,0,1384,0,4207,5822,3,3,1478,490,2000,1,0,74,72,30,0,0,17,0,0,1391,1584,1055,1013,0,27,41,46,47,33,27,27,14,14,16,0,0,11885,594,0,452,42,494,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
