Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
991,7541,563,62,23,9999,0,1500,0,3722,5716,3,3,1478,490,2000,1,0,70,72,37,0,2,27,0,0,1390,1584,0,893,334,13,40,31,36,36,13,13,13,19,12,0,0,12787,675,0,514,40,555,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,96
1992,7541,563,62,23,9999,0,1500,0,3722,5661,3,3,1478,490,2000,1,0,72,72,34,0,0,0,0,0,1390,1584,353,678,0,14,35,47,27,39,14,9,9,23,9,0,0,12787,675,0,514,40,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,96
2992,7541,563,62,23,9999,0,1500,0,3722,5657,3,3,1478,490,2000,1,0,72,72,27,0,0,0,0,0,1390,1584,351,680,0,10,39,51,47,46,0,9,10,19,9,0,0,12787,675,0,514,40,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,96
3992,7541,563,62,23,9999,0,1500,0,3722,7500,3,3,1478,490,2000,1,0,68,72,27,0,0,0,0,0,1390,1584,17275,929,0,21,31,29,56,45,21,21,18,25,86,0,0,12787,675,0,514,40,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,96
4992,7541,563,62,23,9999,0,1500,0,3722,7500,3,4,1478,525,2000,1,0,50,72,53,0,9,35,0,0,1390,1584,28049,1452,721,40,68,76,73,71,40,33,34,39,99,0,0,12787,675,0,514,40,555,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,721,96
5992,7541,563,62,23,9999,0,1500,0,3687,7226,3,4,1478,525,2000,1,0,20,72,79,0,1,52,0,0,1390,1584,65535,1989,402,9,39,26,6,40,5,5,9,28,99,0,0,12787,675,0,514,40,555,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,96
6992,7541,563,62,23,9999,0,1500,0,3687,7233,3,3,1478,490,2000,1,0,10,72,78,0,0,73,0,0,1390,1584,65535,1431,0,9,45,50,38,35,9,5,4,25,99,0,0,12787,675,0,514,40,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,96
7992,7541,563,62,23,9999,0,1500,0,3687,7152,3,3,1478,490,2000,1,0,10,72,17,0,0,72,0,0,1390,1584,65535,1448,0,5,31,44,35,39,5,4,0,23,99,0,0,12787,675,0,514,40,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,96
8992,7541,563,62,23,9999,0,1500,0,3687,7248,3,3,1478,490,2000,1,0,10,72,14,0,0,72,0,0,1390,1584,65535,1481,0,9,42,53,54,42,9,9,9,21,99,0,0,12787,675,0,514,40,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,96
9992,7541,563,62,23,9999,0,1500,0,3687,7388,3,4,1478,525,2000,1,0,11,72,16,0,0,72,0,0,1390,1584,4779,2586,612,13,44,54,54,50,13,9,9,19,99,0,0,12787,675,0,514,40,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,612,96
