Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
992,8079,327,65,24,9999,0,1494,0,3757,5612,3,3,1478,490,2000,1,0,72,72,34,0,0,0,0,0,1390,1584,352,677,0,14,12,33,36,31,5,9,14,26,8,0,0,12256,439,0,277,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,96
1992,8079,327,65,24,9999,0,1500,0,3757,5763,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1390,1584,354,681,0,10,38,42,23,29,10,5,5,25,8,0,0,12256,439,0,277,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
2992,8079,327,65,24,9999,0,1500,0,3757,5665,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1390,1584,354,681,0,10,38,42,23,29,10,5,5,25,8,0,0,12256,439,0,277,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
3992,8079,327,65,24,9999,0,1500,0,3757,6552,3,3,1478,490,2000,1,0,41,72,35,0,17,31,0,0,1390,1584,3922,950,0,19,31,38,33,12,14,5,19,19,39,0,0,12256,439,0,277,40,318,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
4992,8079,327,65,24,9999,0,1500,0,3757,7500,3,3,1478,490,2000,1,0,72,72,36,1,0,4,0,0,1390,1584,4543,1461,683,42,73,72,78,68,42,42,42,38,49,0,0,12256,439,0,277,40,318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,96
5992,8079,327,65,24,9999,0,1500,0,3757,6522,3,3,1478,490,2000,1,0,73,72,41,0,0,0,0,0,1390,1584,4949,1421,0,18,31,28,33,42,14,9,18,15,46,0,0,12256,439,0,277,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6992,8079,327,65,24,9999,0,1500,0,3757,6416,3,3,1478,490,2000,1,0,72,72,39,0,0,0,0,0,1390,1584,3883,1182,0,18,25,16,15,36,5,18,5,21,38,0,0,12256,439,0,277,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
7992,8079,327,65,24,9999,0,1500,0,3753,6883,3,3,1478,490,2000,1,0,72,72,34,0,0,0,0,0,1390,1584,4988,1466,0,18,51,51,43,50,18,0,14,21,47,0,0,12256,439,0,277,40,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,96
8992,8079,327,65,24,9999,0,1500,0,3753,6935,3,3,1478,490,2000,1,0,73,72,37,0,0,2,0,0,1390,1584,5200,2709,644,14,52,56,52,54,5,10,14,22,62,0,0,12256,439,0,277,40,318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,644,96
9993,8079,327,65,23,9999,0,1500,0,3737,7208,3,3,1478,490,2000,1,0,72,72,41,0,0,2,0,0,1390,1584,5219,2725,659,33,66,68,72,68,26,33,23,33,63,0,0,12256,439,0,277,40,318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,96
