Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
990,7853,404,64,22,9999,0,1500,0,3747,5646,3,3,1478,490,2000,1,0,72,72,35,0,0,1,0,0,1390,1584,349,675,0,9,45,36,38,35,0,5,9,11,9,0,0,12311,516,0,359,36,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
1990,7853,404,64,22,9999,0,1500,0,3747,5687,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1390,1584,357,678,0,5,29,27,19,23,4,5,5,5,9,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,96
2990,7853,404,64,22,9999,0,1500,0,3752,5643,3,3,1478,490,2000,1,0,72,72,29,0,0,0,0,0,1390,1584,351,678,0,9,27,36,18,25,0,0,9,26,9,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
3990,7853,404,64,22,9999,0,1500,0,3752,6607,3,3,1478,490,2000,1,0,72,72,29,0,0,26,0,0,1390,1584,6767,895,0,25,22,23,33,27,14,14,25,15,37,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
4990,7853,404,64,22,9999,0,1500,0,3727,6883,3,3,1478,490,2000,1,0,41,72,37,0,17,7,0,0,1390,1584,5654,923,0,20,30,38,22,17,14,20,19,15,52,0,0,12311,516,0,359,36,396,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,96
5990,7853,404,64,22,9999,0,1500,0,3727,7040,3,3,1478,490,2000,1,0,72,72,39,0,0,1,0,0,1390,1584,7639,950,0,23,35,47,26,36,14,14,23,21,62,0,0,12311,516,0,359,36,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
6990,7853,404,64,22,9999,0,1500,0,3727,6839,3,3,1478,490,2000,1,0,73,72,44,0,59,0,0,0,1390,1584,7041,951,0,14,30,45,6,22,10,14,14,21,58,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
7990,7853,404,64,22,9999,0,1500,0,3727,7077,3,3,1478,490,2000,1,0,72,72,42,0,15,0,0,0,1390,1584,7223,1491,651,14,42,45,38,29,14,5,14,37,69,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,96
8991,7853,404,64,22,9999,0,1500,0,3727,7152,3,3,1478,490,2000,1,0,72,72,42,0,0,0,0,0,1390,1584,7296,1506,668,19,44,47,18,27,19,10,14,23,70,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,96
9990,7853,404,64,22,9999,0,1500,0,3727,7129,3,3,1478,490,2000,1,0,72,72,40,0,0,0,0,0,1390,1584,7270,1186,389,14,43,39,25,30,5,10,14,28,67,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,96
10991,7853,404,64,22,9999,0,1500,0,3727,7360,3,3,1478,490,2000,1,0,72,72,38,0,0,0,0,0,1390,1584,7921,1538,688,22,36,47,39,42,22,19,14,15,75,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,96
11991,7853,404,64,22,9999,0,1500,0,3727,7137,3,3,1478,490,2000,1,0,72,72,37,0,0,0,0,0,1390,1584,9528,977,0,22,47,41,39,52,10,19,22,19,75,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
12991,7853,404,63,22,9999,0,1500,0,3711,7500,3,4,1478,525,2000,1,0,72,72,37,0,0,0,0,0,1390,1584,10733,1438,542,19,42,21,50,52,14,19,10,28,87,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,96
13991,7853,404,63,22,9999,0,1500,0,3711,7373,3,3,1478,490,2000,1,0,73,72,42,0,9,0,0,0,1390,1584,9438,1006,0,21,30,43,39,27,10,10,21,23,73,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
14991,7853,404,63,22,9999,0,1500,0,3711,7462,3,4,1478,525,2000,1,0,72,72,42,0,0,0,0,0,1390,1584,8755,1490,710,19,57,36,35,39,10,19,15,21,79,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,96
15991,7853,404,63,22,9999,0,1500,0,3711,7500,3,4,1478,525,2000,1,0,72,72,40,0,0,0,0,0,1390,1584,9137,1159,340,22,33,26,35,36,21,22,15,21,83,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,96
16991,7853,404,63,22,9999,0,1500,0,3709,7500,3,3,1478,490,2000,1,0,72,72,41,0,0,0,0,0,1390,1584,11212,1006,0,26,35,31,39,27,26,14,19,25,88,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
17991,7853,404,63,22,9999,0,1500,0,3709,7500,3,3,1478,490,2000,1,0,72,72,41,0,0,0,0,0,1390,1584,12763,1064,0,26,30,27,38,36,19,26,22,19,94,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
18991,7853,404,63,22,9999,0,1500,0,3709,7500,3,3,1478,490,2000,1,0,72,72,41,0,0,0,0,0,1390,1584,12275,1047,0,19,38,30,27,27,19,14,14,28,97,0,0,12311,516,0,359,36,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
20003,7833,453,63,22,9999,0,1500,0,3709,7500,3,3,1478,490,2000,1,0,72,72,41,0,0,0,0,0,1390,1584,11721,1024,0,19,12,31,22,36,19,15,14,27,93,0,0,12553,576,0,390,48,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
20992,7833,453,63,22,9999,0,1500,0,3709,7500,3,3,1478,490,2000,1,0,72,72,40,0,0,0,0,0,1390,1584,11430,1027,0,22,43,13,16,13,14,22,10,27,88,0,0,12553,576,0,390,48,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
21992,7833,453,63,22,9999,0,1500,0,3709,7500,3,3,1478,490,2000,1,0,72,72,39,0,0,1,0,0,1390,1584,11027,1028,0,42,76,69,75,70,39,42,39,38,88,0,0,12553,576,0,390,48,439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
22991,7833,453,63,22,9999,0,1500,0,3713,7459,3,3,1478,490,2000,1,0,72,72,39,0,0,3,0,0,1390,1584,10712,1244,0,19,51,15,57,42,10,19,5,31,86,0,0,12553,576,0,390,48,439,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
23991,7833,453,63,22,9999,0,1500,0,3713,7500,3,4,1478,525,2000,1,0,71,72,45,0,0,17,0,0,1390,1584,11245,2031,637,14,44,50,55,50,14,14,10,31,93,0,0,12553,576,0,390,48,439,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,637,96
24991,7833,453,63,22,9999,0,1500,0,3713,7500,3,4,1478,525,2000,1,0,71,72,52,0,1,6,0,0,1390,1584,12135,2012,627,22,47,47,66,47,19,5,22,16,98,0,0,12553,576,0,390,48,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,627,96
25991,7833,453,63,22,9999,0,1500,0,3713,7500,3,3,1478,525,2000,1,0,72,72,49,0,0,5,0,0,1390,1584,10818,1151,0,21,41,38,50,47,19,21,14,23,93,0,0,12553,576,0,390,48,439,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,96
26992,7833,453,63,22,9999,0,1500,0,3713,7500,3,3,1478,490,2000,1,0,71,72,48,0,0,0,0,0,1390,1584,12316,1239,0,30,46,57,60,68,16,18,30,30,99,0,0,12553,576,0,390,48,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
